,CSUSHPISA
1998-09-01,91.258
1998-10-01,91.71600000000001
1998-11-01,92.199
1998-12-01,92.712
1999-01-01,93.20700000000001
1999-02-01,93.671
1999-03-01,94.21700000000001
1999-04-01,94.78399999999999
1999-05-01,95.344
1999-06-01,95.97399999999999
1999-07-01,96.59100000000001
1999-08-01,97.219
1999-09-01,97.86200000000001
1999-10-01,98.522
1999-11-01,99.154
1999-12-01,99.844
2000-01-01,100.552
2000-02-01,101.339
2000-03-01,102.12700000000001
2000-04-01,102.92299999999999
2000-05-01,103.678
2000-06-01,104.425
2000-07-01,105.054
2000-08-01,105.76799999999999
2000-09-01,106.538
2000-10-01,107.384
2000-11-01,108.303
2000-12-01,109.141
2001-01-01,109.84700000000001
2001-02-01,110.50200000000001
2001-03-01,111.11
2001-04-01,111.652
2001-05-01,112.164
2001-06-01,112.79700000000001
2001-07-01,113.492
2001-08-01,114.16799999999999
2001-09-01,114.81299999999999
2001-10-01,115.31
2001-11-01,115.85700000000001
2001-12-01,116.454
2002-01-01,117.14399999999999
2002-02-01,117.845
2002-03-01,118.68700000000001
2002-04-01,119.611
2002-05-01,120.72399999999999
2002-06-01,121.814
2002-07-01,122.889
2002-08-01,123.83200000000001
2002-09-01,124.781
2002-10-01,125.736
2002-11-01,126.67
2002-12-01,127.624
2003-01-01,128.461
2003-02-01,129.356
2003-03-01,130.149
2003-04-01,130.885
2003-05-01,131.736
2003-06-01,132.65
2003-07-01,133.77700000000002
2003-08-01,134.968
2003-09-01,136.295
2003-10-01,137.533
2003-11-01,138.796
2003-12-01,140.181
2004-01-01,141.64700000000002
2004-02-01,143.192
2004-03-01,145.059
2004-04-01,146.593
2004-05-01,148.187
2004-06-01,149.852
2004-07-01,151.34
2004-08-01,152.635
2004-09-01,154.181
2004-10-01,155.752
2004-11-01,157.529
2004-12-01,159.332
2005-01-01,161.289
2005-02-01,163.346
2005-03-01,165.81400000000002
2005-04-01,167.503
2005-05-01,169.352
2005-06-01,171.192
2005-07-01,172.861
2005-08-01,174.44299999999998
2005-09-01,176.43900000000002
2005-10-01,178.028
2005-11-01,179.68200000000002
2005-12-01,180.91099999999997
2006-01-01,182.322
2006-02-01,183.28900000000002
2006-03-01,184.365
2006-04-01,184.33
2006-05-01,184.15599999999998
2006-06-01,183.507
2006-07-01,183.067
2006-08-01,182.59400000000002
2006-09-01,182.798
2006-10-01,183.19799999999998
2006-11-01,183.609
2006-12-01,184.14
2007-01-01,184.518
2007-02-01,184.59900000000002
2007-03-01,184.15099999999998
2007-04-01,183.011
2007-05-01,181.602
2007-06-01,180.255
2007-07-01,179.111
2007-08-01,178.11700000000002
2007-09-01,177.558
2007-10-01,176.62400000000002
2007-11-01,175.14700000000002
2007-12-01,174.342
2008-01-01,173.132
2008-02-01,171.54
2008-03-01,170.05200000000002
2008-04-01,168.33700000000002
2008-05-01,166.65900000000002
2008-06-01,165.018
2008-07-01,163.566
2008-08-01,161.989
2008-09-01,160.309
2008-10-01,158.328
2008-11-01,156.142
2008-12-01,153.619
2009-01-01,151.507
2009-02-01,150.015
2009-03-01,148.66
2009-04-01,147.94899999999998
2009-05-01,147.694
2009-06-01,148.09
2009-07-01,148.409
2009-08-01,148.278
2009-09-01,148.026
2009-10-01,147.851
2009-11-01,148.137
2009-12-01,147.931
2010-01-01,147.39600000000002
2010-02-01,145.632
2010-03-01,145.858
2010-04-01,146.401
2010-05-01,146.392
2010-06-01,145.718
2010-07-01,144.987
2010-08-01,143.911
2010-09-01,143.014
2010-10-01,142.526
2010-11-01,142.168
2010-12-01,142.055
2011-01-01,141.517
2011-02-01,140.344
2011-03-01,139.976
2011-04-01,140.007
2011-05-01,139.90200000000002
2011-06-01,139.859
2011-07-01,139.727
2011-08-01,139.306
2011-09-01,138.665
2011-10-01,137.94799999999998
2011-11-01,137.14700000000002
2011-12-01,136.67
2012-01-01,136.605
2012-02-01,136.529
2012-03-01,137.9
2012-04-01,139.149
2012-05-01,140.151
2012-06-01,141.02700000000002
2012-07-01,141.668
2012-08-01,142.278
2012-09-01,142.906
2012-10-01,143.596
2012-11-01,144.579
2012-12-01,145.496
2013-01-01,146.822
2013-02-01,147.781
2013-03-01,149.96
2013-04-01,151.517
2013-05-01,152.847
2013-06-01,154.19799999999998
2013-07-01,155.60299999999998
2013-08-01,156.96
2013-09-01,158.221
2013-10-01,159.238
2013-11-01,160.071
2013-12-01,160.991
2014-01-01,161.921
2014-02-01,162.519
2014-03-01,163.079
2014-04-01,163.386
2014-05-01,163.654
2014-06-01,164.062
2014-07-01,164.581
2014-08-01,165.208
2014-09-01,165.899
2014-10-01,166.636
2014-11-01,167.33
2014-12-01,168.044
2015-01-01,168.623
2015-02-01,169.12099999999998
2015-03-01,169.791
2015-04-01,170.29
2015-05-01,170.872
2015-06-01,171.47099999999998
2015-07-01,172.143
2015-08-01,172.92700000000002
2015-09-01,173.82
2015-10-01,174.78400000000002
2015-11-01,175.73
2015-12-01,176.533
2016-01-01,177.257
2016-02-01,177.638
2016-03-01,178.155
2016-04-01,178.757
2016-05-01,179.418
2016-06-01,180.082
2016-07-01,180.842
2016-08-01,181.834
2016-09-01,182.808
2016-10-01,183.736
2016-11-01,184.74599999999998
2016-12-01,185.709
2017-01-01,186.78799999999998
2017-02-01,187.30900000000003
2017-03-01,187.985
2017-04-01,188.71400000000003
2017-05-01,189.601
2017-06-01,190.502
2017-07-01,191.449
2017-08-01,192.644
2017-09-01,193.739
2017-10-01,194.78599999999997
2017-11-01,195.937
2017-12-01,197.158
2018-01-01,198.297
2018-02-01,199.229
2018-03-01,199.96599999999998
2018-04-01,200.65599999999998
2018-05-01,201.41400000000002
2018-06-01,202.21900000000002
2018-07-01,202.89
2018-08-01,203.66
2018-09-01,204.32
2018-10-01,205.084
2018-11-01,205.653
2018-12-01,206.14
2019-01-01,206.53099999999998
2019-02-01,206.862
2019-03-01,207.082
2019-04-01,207.533
2019-05-01,208.13099999999997
